,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,"CCOc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2.[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O].[V] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_223","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR","['[O]', '[V]']","['CCOc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2', '[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]']",CCOc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2.[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O].[V],"ERROR,acs",0,mof_unit_pretest_223
1,"CCCOCCOP(=O)(c1cc2c(c(c1)P(=O)(OCC)[O])cc(cc2P(=O)(OCC)[O])P(=O)(OCCO)[O])[O].CCOP(=O)(c1cc(c2c3c1cc1ccc4c5c1c3c1c(c2)ccc2c1c5c1c(c4)c(cc(c1c2)P(=O)(OCC)[O])P(=O)(OCC)[O])P(=O)(OCC)[O])[O].[Ba] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_224","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Ba]'],"['CCCOCCOP(=O)(c1cc2c(c(c1)P(=O)(OCC)[O])cc(cc2P(=O)(OCC)[O])P(=O)(OCCO)[O])[O]', 'CCOP(=O)(c1cc(c2c3c1cc1ccc4c5c1c3c1c(c2)ccc2c1c5c1c(c4)c(cc(c1c2)P(=O)(OCC)[O])P(=O)(OCC)[O])P(=O)(OCC)[O])[O]']",CCCOCCOP(=O)(c1cc2c(c(c1)P(=O)(OCC)[O])cc(cc2P(=O)(OCC)[O])P(=O)(OCCO)[O])[O].CCOP(=O)(c1cc(c2c3c1cc1ccc4c5c1c3c1c(c2)ccc2c1c5c1c(c4)c(cc(c1c2)P(=O)(OCC)[O])P(=O)(OCC)[O])P(=O)(OCC)[O])[O].[Ba],"ERROR,acs",0,mof_unit_pretest_224
2,"CCOC(=C[CH]C=C1C=NN=C1)C1=C[N]N=C1.CCOC(=C[CH][CH]C1=CN=N[CH]1)C1=C[N]N=C1.CCOC(=C[CH][CH]C1=C[N]N=C1)[C]1C=NN=C1.CCOC1=NN=C[C]1C(=CC=C(C1=CN=N[CH]1)O)O.CCOC1=NN=C[C]1C(=C[CH][C](C1=CN=N[CH]1)O)O.[Ni] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_225","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Ni]'],"['CCOC(=C[CH]C=C1C=NN=C1)C1=C[N]N=C1', 'CCOC(=C[CH][CH]C1=CN=N[CH]1)C1=C[N]N=C1', 'CCOC(=C[CH][CH]C1=C[N]N=C1)[C]1C=NN=C1', 'CCOC1=NN=C[C]1C(=CC=C(C1=CN=N[CH]1)O)O', 'CCOC1=NN=C[C]1C(=C[CH][C](C1=CN=N[CH]1)O)O']",CCOC(=C[CH]C=C1C=NN=C1)C1=C[N]N=C1.CCOC(=C[CH][CH]C1=CN=N[CH]1)C1=C[N]N=C1.CCOC(=C[CH][CH]C1=C[N]N=C1)[C]1C=NN=C1.CCOC1=NN=C[C]1C(=CC=C(C1=CN=N[CH]1)O)O.CCOC1=NN=C[C]1C(=C[CH][C](C1=CN=N[CH]1)O)O.[Ni],"ERROR,acs",0,mof_unit_pretest_225
3,"O=N(=O)c1nc(cc2c1cc(nc2N(=O)=O)N(=O)=O)N(=O)=O.[Cu][Cu].[O-]C(=O)c1c(O)c(c(c(c1c1cccc(c1N(=O)=O)N(=O)=O)O)C(=O)[O-])c1cccc(c1N(=O)=O)N(=O)=O.[O-]C(=O)c1c(cc2c(c1O)cc(c(c2O)C(=O)[O-])N(=O)=O)N(=O)=O MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_226","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Cu][Cu]'],"['O=N(=O)c1nc(cc2c1cc(nc2N(=O)=O)N(=O)=O)N(=O)=O', '[O-]C(=O)c1c(O)c(c(c(c1c1cccc(c1N(=O)=O)N(=O)=O)O)C(=O)[O-])c1cccc(c1N(=O)=O)N(=O)=O', '[O-]C(=O)c1c(cc2c(c1O)cc(c(c2O)C(=O)[O-])N(=O)=O)N(=O)=O']",O=N(=O)c1nc(cc2c1cc(nc2N(=O)=O)N(=O)=O)N(=O)=O.[Cu][Cu].[O-]C(=O)c1c(O)c(c(c(c1c1cccc(c1N(=O)=O)N(=O)=O)O)C(=O)[O-])c1cccc(c1N(=O)=O)N(=O)=O.[O-]C(=O)c1c(cc2c(c1O)cc(c(c2O)C(=O)[O-])N(=O)=O)N(=O)=O,"ERROR,acs",0,mof_unit_pretest_226
4,"Brc1cnc2c(n1)cccc2.CCCOC(=C(C#CC(=O)[O-])OCCC)C#CC(=O)[O-].CCCOc1cc(OCCC)c2c(c1Br)c(cc(c2C(=O)[O-])Br)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_227","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Zn][Zn]'],"['Brc1cnc2c(n1)cccc2', 'CCCOC(=C(C#CC(=O)[O-])OCCC)C#CC(=O)[O-]', 'CCCOc1cc(OCCC)c2c(c1Br)c(cc(c2C(=O)[O-])Br)C(=O)[O-]']",Brc1cnc2c(n1)cccc2.CCCOC(=C(C#CC(=O)[O-])OCCC)C#CC(=O)[O-].CCCOc1cc(OCCC)c2c(c1Br)c(cc(c2C(=O)[O-])Br)C(=O)[O-].[Zn][Zn],"ERROR,acs",0,mof_unit_pretest_227
5,"COc1c(C(=O)[O-])c(OC)c(c(c1OC)C(=O)[O-])OC.COc1c2c(OC)c(C(=O)[O-])c(c3c2c2c(c1OC)c(OC)c(c(c2c(c3OC)OC)OC)C(=O)[O-])OC.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_228","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Zn][O]([Zn])([Zn])[Zn]'],"['COc1c(C(=O)[O-])c(OC)c(c(c1OC)C(=O)[O-])OC', 'COc1c2c(OC)c(C(=O)[O-])c(c3c2c2c(c1OC)c(OC)c(c(c2c(c3OC)OC)OC)C(=O)[O-])OC']",COc1c(C(=O)[O-])c(OC)c(c(c1OC)C(=O)[O-])OC.COc1c2c(OC)c(C(=O)[O-])c(c3c2c2c(c1OC)c(OC)c(c(c2c(c3OC)OC)OC)C(=O)[O-])OC.[Zn][O]([Zn])([Zn])[Zn],"ERROR,acs",0,mof_unit_pretest_228
6,"CCCC1CC2(CCC1(C(=O)[O-])C(C2)CCC)C(=O)[O-].CCCc1cc2c(CCC)cncc2c2c1c1cnccc1cc2.CCCc1cc2c3cc(cc(c3ccc2c2c1ccc(c2CCC)C(=O)[O-])c1ccccc1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_229","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Zn][Zn]'],"['CCCC1CC2(CCC1(C(=O)[O-])C(C2)CCC)C(=O)[O-]', 'CCCc1cc2c(CCC)cncc2c2c1c1cnccc1cc2', 'CCCc1cc2c3cc(cc(c3ccc2c2c1ccc(c2CCC)C(=O)[O-])c1ccccc1)C(=O)[O-]']",CCCC1CC2(CCC1(C(=O)[O-])C(C2)CCC)C(=O)[O-].CCCc1cc2c(CCC)cncc2c2c1c1cnccc1cc2.CCCc1cc2c3cc(cc(c3ccc2c2c1ccc(c2CCC)C(=O)[O-])c1ccccc1)C(=O)[O-].[Zn][Zn],"ERROR,acs",0,mof_unit_pretest_229
7,"CCOc1c(cc(cc1C(=O)[O-])c1cc(OC)c(cc1OC)c1cc(C(=O)[O-])c(c(c1)C(=O)[O-])OCC)C(=O)[O-].[O-]C(=O)c1cc(C(=O)[O-])c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c(cc1C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_230","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Zn][Zn]'],"['CCOc1c(cc(cc1C(=O)[O-])c1cc(OC)c(cc1OC)c1cc(C(=O)[O-])c(c(c1)C(=O)[O-])OCC)C(=O)[O-]', '[O-]C(=O)c1cc(C(=O)[O-])c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c(cc1C(=O)[O-])C(=O)[O-]']",CCOc1c(cc(cc1C(=O)[O-])c1cc(OC)c(cc1OC)c1cc(C(=O)[O-])c(c(c1)C(=O)[O-])OCC)C(=O)[O-].[O-]C(=O)c1cc(C(=O)[O-])c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c(cc1C(=O)[O-])C(=O)[O-].[Zn][Zn],"ERROR,acs",0,mof_unit_pretest_230
8,"N#CC(=CC=C(C(=O)[O-])C#N)C(=O)[O-].N#Cc1cc2c(N(=O)=O)c(C(=O)[O-])c(c3c2c2c1c(C#N)c(C(=O)[O-])c(c2cc3C#N)N(=O)=O)C#N.O=N(=O)[C]([C](N(=O)=O)[N]N(=O)=O)[N]N(=O)=O.[Zn][Zn] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_231","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Zn][Zn]'],"['N#CC(=CC=C(C(=O)[O-])C#N)C(=O)[O-]', 'N#Cc1cc2c(N(=O)=O)c(C(=O)[O-])c(c3c2c2c1c(C#N)c(C(=O)[O-])c(c2cc3C#N)N(=O)=O)C#N', 'O=N(=O)[C]([C](N(=O)=O)[N]N(=O)=O)[N]N(=O)=O']",N#CC(=CC=C(C(=O)[O-])C#N)C(=O)[O-].N#Cc1cc2c(N(=O)=O)c(C(=O)[O-])c(c3c2c2c1c(C#N)c(C(=O)[O-])c(c2cc3C#N)N(=O)=O)C#N.O=N(=O)[C]([C](N(=O)=O)[N]N(=O)=O)[N]N(=O)=O.[Zn][Zn],"ERROR,acs",0,mof_unit_pretest_231
9,"CCC1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl.CCC1Cc2c1nccn2.CCc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccc(c(c1)CC)C(=O)[O-])Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,acs.cat0;mof_unit_pretest_232","Cr.SBSPXSJZGDSXRS.MOFkey-v1.ERROR
NVOO.RUZXEQYSTTUOAC.RYFVKTNONYVZPO.MOFkey-v1.ERROR",['[Zn][Zn]'],"['CCC1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl', 'CCC1Cc2c1nccn2', 'CCc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccc(c(c1)CC)C(=O)[O-])Cl)C(=O)[O-]']",CCC1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl.CCC1Cc2c1nccn2.CCc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1ccc(c(c1)CC)C(=O)[O-])Cl)C(=O)[O-].[Zn][Zn],"ERROR,acs",0,mof_unit_pretest_232
