,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,"CCCc1c(CCC)c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])CCC)CCC.CCCc1c(CCC)c(c2ccncc2)c(c(c1c1ccncc1)CCC)CCC.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_201",Cu.DJAKWWGGZZAMCK.DWUCJWYTFYKGEA.NWHZQELJCLSKNV.MOFkey-v1.ERROR,['[Cu][Cu]'],"['CCCc1c(CCC)c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])CCC)CCC', 'CCCc1c(CCC)c(c2ccncc2)c(c(c1c1ccncc1)CCC)CCC', '[O-]C(=O)C#CC(=O)[O-]']",CCCc1c(CCC)c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])CCC)CCC.CCCc1c(CCC)c(c2ccncc2)c(c(c1c1ccncc1)CCC)CCC.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-],"ERROR,pcu",0,mof_unit_pretest_201
1,"CNc1c(NC)ncc2c1cc(c1c2c(cc2c1cnc(c2NC)NC)S([O])(O)[O])S([O])(O)[O].CNc1cc(cc2c1ccc1c2ccc2c1cc(cc2NC)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC#CC(=O)[O-] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_202",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,['[Cu][Cu]'],"['CNc1c(NC)ncc2c1cc(c1c2c(cc2c1cnc(c2NC)NC)S([O])(O)[O])S([O])(O)[O]', 'CNc1cc(cc2c1ccc1c2ccc2c1cc(cc2NC)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)[O-]']",CNc1c(NC)ncc2c1cc(c1c2c(cc2c1cnc(c2NC)NC)S([O])(O)[O])S([O])(O)[O].CNc1cc(cc2c1ccc1c2ccc2c1cc(cc2NC)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC#CC(=O)[O-],"ERROR,pcu",0,mof_unit_pretest_202
2,"N=CC=N.[Cu][Cu].[O-]C(=O)C=C(C(=CC(=O)[O-])C)Cl.[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1C)C(=O)N(C3=O)c1ccc(c(c1)C)C(=O)[O-] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_203",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,['[Cu][Cu]'],"['N=CC=N', '[O-]C(=O)C=C(C(=CC(=O)[O-])C)Cl', '[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1C)C(=O)N(C3=O)c1ccc(c(c1)C)C(=O)[O-]']",N=CC=N.[Cu][Cu].[O-]C(=O)C=C(C(=CC(=O)[O-])C)Cl.[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1C)C(=O)N(C3=O)c1ccc(c(c1)C)C(=O)[O-],"ERROR,pcu",0,mof_unit_pretest_203
3,"CCOC1=[N]=C([C](C(=C1)[N][N]C1=CC(=[N]=C([C]1C(=O)O)OCC)OCC)C(=O)O)OCC.[Cu][Cu].[O-]C(=O)c1cc(c2cccc(c2)C(=O)O)c(cc1c1cccc(c1)C(=O)O)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_204",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,['[Cu][Cu]'],"['CCOC1=[N]=C([C](C(=C1)[N][N]C1=CC(=[N]=C([C]1C(=O)O)OCC)OCC)C(=O)O)OCC', '[O-]C(=O)c1cc(c2cccc(c2)C(=O)O)c(cc1c1cccc(c1)C(=O)O)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-]']",CCOC1=[N]=C([C](C(=C1)[N][N]C1=CC(=[N]=C([C]1C(=O)O)OCC)OCC)C(=O)O)OCC.[Cu][Cu].[O-]C(=O)c1cc(c2cccc(c2)C(=O)O)c(cc1c1cccc(c1)C(=O)O)C(=O)[O-].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-],"ERROR,pcu",0,mof_unit_pretest_204
4,"IC1=NN=C[C]1c1cc(c(cc1c1ccccc1F)C1=C(I)[N]N=C1)c1ccccc1F.Ic1c(ccc2c1ccc(c2I)C1=C[N]N=C1)[C]1C=NN=C1.N1=C[C](C=N1)c1ccc2c(c1)ccc(c2)C1=C[N]N=C1.[Ni].c1ccc(cc1)c1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)c1ccccc1 MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_205",Cu.JDFYCJSXQMQMRZ.SKKVIWWXBFUWEA.USZXDNVMPDEEBP.MOFkey-v1.ERROR,['[Ni]'],"['IC1=NN=C[C]1c1cc(c(cc1c1ccccc1F)C1=C(I)[N]N=C1)c1ccccc1F', 'Ic1c(ccc2c1ccc(c2I)C1=C[N]N=C1)[C]1C=NN=C1', 'N1=C[C](C=N1)c1ccc2c(c1)ccc(c2)C1=C[N]N=C1', 'c1ccc(cc1)c1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)c1ccccc1']",IC1=NN=C[C]1c1cc(c(cc1c1ccccc1F)C1=C(I)[N]N=C1)c1ccccc1F.Ic1c(ccc2c1ccc(c2I)C1=C[N]N=C1)[C]1C=NN=C1.N1=C[C](C=N1)c1ccc2c(c1)ccc(c2)C1=C[N]N=C1.[Ni].c1ccc(cc1)c1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)c1ccccc1,"ERROR,pcu",0,mof_unit_pretest_205
5,"CCCc1ncc(nc1)CCC.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_206",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,['[Zn][Zn]'],"['CCCc1ncc(nc1)CCC', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]']",CCCc1ncc(nc1)CCC.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn],"ERROR,pcu",0,mof_unit_pretest_206
6,"[Cu][Cu].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].c1ccc(cc1)c1ncc(nc1)c1ccccc1 MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_207",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,['[Cu][Cu]'],"['[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]', 'c1ccc(cc1)c1ncc(nc1)c1ccccc1']",[Cu][Cu].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].c1ccc(cc1)c1ncc(nc1)c1ccccc1,"ERROR,pcu",0,mof_unit_pretest_207
7,"CO[N][N]OC.COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_208",Zn.PCXFBEKDCFSKOH.UEHSNTWZMYCOBN.VZCYOOQTPOCHFL.MOFkey-v1.ERROR,['[Cu][Cu]'],"['CO[N][N]OC', 'COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2', '[O-]C(=O)C=CC(=O)[O-]']",CO[N][N]OC.COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-],"ERROR,pcu",0,mof_unit_pretest_208
8,"CN=CC=N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])C.[O-]C(=O)c1ccc2c(c1C)c1cc(I)c(c(c1cc2)C(=O)[O-])I MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_209",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,['[Cu][Cu]'],"['CN=CC=N', '[O-]C(=O)C=CC(=CC(=O)[O-])C', '[O-]C(=O)c1ccc2c(c1C)c1cc(I)c(c(c1cc2)C(=O)[O-])I']",CN=CC=N.[Cu][Cu].[O-]C(=O)C=CC(=CC(=O)[O-])C.[O-]C(=O)c1ccc2c(c1C)c1cc(I)c(c(c1cc2)C(=O)[O-])I,"ERROR,pcu",0,mof_unit_pretest_209
9,"CCCOc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[O].[V] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_210",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,"['[O]', '[V]']","['CCCOc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",CCCOc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[O].[V],"ERROR,pcu",0,mof_unit_pretest_210
10,"Brc1cc(C(=O)[O-])c2c(c1)c1cc(ccc1cc2)C(=O)[O-].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_212",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,"['[O]', '[V]']","['Brc1cc(C(=O)[O-])c2c(c1)c1cc(ccc1cc2)C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",Brc1cc(C(=O)[O-])c2c(c1)c1cc(ccc1cc2)C(=O)[O-].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V],"ERROR,pcu",0,mof_unit_pretest_212
11,"COc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(O)cc3c(c1cc2)cc(cc3)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-].[O].[V] MOFid-v1.ERROR,pcu.cat0;mof_unit_pretest_213",Cr.ASWYYRAAUKSHFE.CUWROWIOJXMEGO.GSUIIJFBJQXRJT.HDZJFPKZSXUHJW.LYRJWRHOKPKOGB.NUQVOYOXTFSRAJ.MOFkey-v1.ERROR,"['[O]', '[V]']","['COc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1c(O)cc3c(c1cc2)cc(cc3)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-]']",COc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(O)cc3c(c1cc2)cc(cc3)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-].[O].[V],"ERROR,pcu",0,mof_unit_pretest_213
