,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cat,cifname
0,"Ic1ccc2c(c1)c(cc(c2C(=O)[O-])N(=O)=O)C(=O)[O-].O=N(=O)c1cnc2c(n1)c(ccc2)N(=O)=O.[O-]C(=O)c1ccc2c(c1)c1cc(N(=O)=O)c3c(c1cc2)c(I)c(cc3N(=O)=O)C(=O)[O-].[Zn][Zn] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_601",Zn.FHMIHUSPIJYRRL.MOFkey-v1.nbo,['[Zn][Zn]'],"['Ic1ccc2c(c1)c(cc(c2C(=O)[O-])N(=O)=O)C(=O)[O-]', 'O=N(=O)c1cnc2c(n1)c(ccc2)N(=O)=O', '[O-]C(=O)c1ccc2c(c1)c1cc(N(=O)=O)c3c(c1cc2)c(I)c(cc3N(=O)=O)C(=O)[O-]']",Ic1ccc2c(c1)c(cc(c2C(=O)[O-])N(=O)=O)C(=O)[O-].O=N(=O)c1cnc2c(n1)c(ccc2)N(=O)=O.[O-]C(=O)c1ccc2c(c1)c1cc(N(=O)=O)c3c(c1cc2)c(I)c(cc3N(=O)=O)C(=O)[O-].[Zn][Zn],"nbo,bcu",0,mof_unit_pretest_601
1,"[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])Br)Cl.[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2Br)C(=O)[O-].[O].[V] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_602",Zn.FQXVKGOPUPEXMI.KYMVBVBRCRFHIE.LBOJGRDVKNKRTR.MOFkey-v1.nbo,"['[O]', '[V]']","['[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])Br)Cl', '[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)ccc(c2Br)C(=O)[O-]']",[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])Br)Cl.[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2Br)C(=O)[O-].[O].[V],"nbo,bcu",0,mof_unit_pretest_602
2,"[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_603",Zn.FHMIHUSPIJYRRL.MOFkey-v1.nbo,['[Cr][O]([Cr])[Cr]'],['[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]'],[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-],"nbo,bcu",0,mof_unit_pretest_603
3,"OC1c2nccnc2C1(O)O.[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N(=O)=O.[O-]C(=O)c1ccc(c2c1CC2N(=O)=O)C(=O)[O-].[Zn][Zn] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_604",Cu.DKTFNLBCJKLDSW.MXUPQWXRYMSAAW.PQWMDYAWOMOMGL.MOFkey-v1.nbo,['[Zn][Zn]'],"['OC1c2nccnc2C1(O)O', '[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N(=O)=O', '[O-]C(=O)c1ccc(c2c1CC2N(=O)=O)C(=O)[O-]']",OC1c2nccnc2C1(O)O.[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N(=O)=O.[O-]C(=O)c1ccc(c2c1CC2N(=O)=O)C(=O)[O-].[Zn][Zn],"nbo,bcu",0,mof_unit_pretest_604
4,"CCCc1cc(C=Cc2ccc(c(c2)CCC)C(=O)[O-])ccc1C(=O)[O-].CCCc1cc2cc(cc3c2c2c1cc(cc2cc3CCC)C(=O)[O-])C(=O)[O-].CCCc1ncc2c3c1ccc1c3c(cc2)c(nc1)CCC.[Cu][Cu] MOFid-v1.ERROR,bcu.cat0;mof_unit_pretest_605",,['[Cu][Cu]'],"['CCCc1cc(C=Cc2ccc(c(c2)CCC)C(=O)[O-])ccc1C(=O)[O-]', 'CCCc1cc2cc(cc3c2c2c1cc(cc2cc3CCC)C(=O)[O-])C(=O)[O-]', 'CCCc1ncc2c3c1ccc1c3c(cc2)c(nc1)CCC']",CCCc1cc(C=Cc2ccc(c(c2)CCC)C(=O)[O-])ccc1C(=O)[O-].CCCc1cc2cc(cc3c2c2c1cc(cc2cc3CCC)C(=O)[O-])C(=O)[O-].CCCc1ncc2c3c1ccc1c3c(cc2)c(nc1)CCC.[Cu][Cu],"ERROR,bcu",0,mof_unit_pretest_605
5,"CCCC1CC2(CCC1(CC2F)C1=CN=N[CH]1)C1=C(F)N=N[CH]1.CCCC1CC2(CCC1(CC2F)C1=CN=N[CH]1)[C]1C=NN=C1F.FC1=NN=C[C]1[CH][CH]C=CC1=C[N]N=C1.FC1=NN=C[C]1[CH][CH][CH][CH]C1=C[N]N=C1.F[C]1N=NC=C1[CH][CH][CH][CH]C1=C[N]N=C1.[Ni] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_606",Zn.FHMIHUSPIJYRRL.MOFkey-v1.nbo,['[Ni]'],"['CCCC1CC2(CCC1(CC2F)C1=CN=N[CH]1)C1=C(F)N=N[CH]1', 'CCCC1CC2(CCC1(CC2F)C1=CN=N[CH]1)[C]1C=NN=C1F', 'FC1=NN=C[C]1[CH][CH]C=CC1=C[N]N=C1', 'FC1=NN=C[C]1[CH][CH][CH][CH]C1=C[N]N=C1', 'F[C]1N=NC=C1[CH][CH][CH][CH]C1=C[N]N=C1']",CCCC1CC2(CCC1(CC2F)C1=CN=N[CH]1)C1=C(F)N=N[CH]1.CCCC1CC2(CCC1(CC2F)C1=CN=N[CH]1)[C]1C=NN=C1F.FC1=NN=C[C]1[CH][CH]C=CC1=C[N]N=C1.FC1=NN=C[C]1[CH][CH][CH][CH]C1=C[N]N=C1.F[C]1N=NC=C1[CH][CH][CH][CH]C1=C[N]N=C1.[Ni],"nbo,bcu",0,mof_unit_pretest_606
6,"CNc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2.CNc1cccc2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_607",Zn.FHMIHUSPIJYRRL.MOFkey-v1.nbo,['[Cr][O]([Cr])[Cr]'],"['CNc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2', 'CNc1cccc2c1c(ccc2C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]']",CNc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2.CNc1cccc2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cr][O]([Cr])[Cr].[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],"nbo,bcu",0,mof_unit_pretest_607
7,"CNC1Cc2c1c(cc(c2C(=O)[O-])NC)C(=O)[O-].CNC1Cc2c1nc(cn2)Br.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_608",,['[Cu][Cu]'],"['CNC1Cc2c1c(cc(c2C(=O)[O-])NC)C(=O)[O-]', 'CNC1Cc2c1nc(cn2)Br', '[O-]C(=O)C#CC(=O)[O-]']",CNC1Cc2c1c(cc(c2C(=O)[O-])NC)C(=O)[O-].CNC1Cc2c1nc(cn2)Br.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-],"nbo,bcu",0,mof_unit_pretest_608
8,"FC1CN2CCN1C(C2)c1ccccc1.[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])F.[O-]C(=O)C12CCC(C(C1)(F)F)(C(C2c1ccccc1)F)C(=O)[O-].[Zn][Zn] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_609","Cr.HPJQZAWWAABGGJ.SUWUPUWPGJRZAT.MOFkey-v1.nbo
XYOO.MOFkey-v1.nbo",['[Zn][Zn]'],"['FC1CN2CCN1C(C2)c1ccccc1', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])F', '[O-]C(=O)C12CCC(C(C1)(F)F)(C(C2c1ccccc1)F)C(=O)[O-]']",FC1CN2CCN1C(C2)c1ccccc1.[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])F.[O-]C(=O)C12CCC(C(C1)(F)F)(C(C2c1ccccc1)F)C(=O)[O-].[Zn][Zn],"nbo,bcu",0,mof_unit_pretest_609
9,"Brc1cncc2c1cncc2.CCCOc1c(ccc2c1ccc(c2)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-] MOFid-v1.nbo,bcu.cat0;mof_unit_pretest_610",Cu.IVHBREJLPGXBAS.KSULJDGYHIVRHM.XBLURBVDPQGOFU.MOFkey-v1.nbo,['[Cu][Cu]'],"['Brc1cncc2c1cncc2', 'CCCOc1c(ccc2c1ccc(c2)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]']",Brc1cncc2c1cncc2.CCCOc1c(ccc2c1ccc(c2)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],"nbo,bcu",0,mof_unit_pretest_610
